symbol,instrument_key
INDHOTEL.NS,NSE_EQ|INE053A01029
IMFA.NS,NSE_EQ|INE919H01018
IOC.NS,NSE_EQ|INE242A01010
IOB.NS,NSE_EQ|INE565A01014
IRCTC.NS,NSE_EQ|INE335Y01020
IRFC.NS,NSE_EQ|INE053F01010
IREDA.NS,NSE_EQ|INE202E01016
INDIGOPNTS.NS,NSE_EQ|INE09VQ01012
ICIL.NS,NSE_EQ|INE483B01026
IGL.NS,NSE_EQ|INE203G01027
INDUSTOWER.NS,NSE_EQ|INE121J01017
INDUSINDBK.NS,NSE_EQ|INE095A01012
INFIBEAM.NS,NSE_EQ|INE483S01020
NAUKRI.NS,NSE_EQ|INE663F01024
INFY.NS,NSE_EQ|INE009A01021
INGERRAND.NS,NSE_EQ|INE177A01018
INOXGREEN.NS,NSE_EQ|INE510W01014
INOXWIND.NS,NSE_EQ|INE066P01011
INTELLECT.NS,NSE_EQ|INE306R01017
INDIGO.NS,NSE_EQ|INE646L01027
IONEXCHANG.NS,NSE_EQ|INE570A01022
IPCALAB.NS,NSE_EQ|INE571A01038
ISGEC.NS,NSE_EQ|INE858B01029
JBCHEPHARM.NS,NSE_EQ|INE572A01036
JKCEMENT.NS,NSE_EQ|INE823G01014
JKIL.NS,NSE_EQ|INE576I01022
JBMA.NS,NSE_EQ|INE927D01051
JKLAKSHMI.NS,NSE_EQ|INE786A01032
JKPAPER.NS,NSE_EQ|INE789E01012
JKTYRE.NS,NSE_EQ|INE573A01042
JMFINANCIL.NS,NSE_EQ|INE780C01023
JSWENERGY.NS,NSE_EQ|INE121E01018
JSWINFRA.NS,NSE_EQ|INE880J01026
JSWSTEEL.NS,NSE_EQ|INE019A01038
JTEKTINDIA.NS,NSE_EQ|INE643A01035
JTLIND.NS,NSE_EQ|INE391J01032
JAIBALAJI.NS,NSE_EQ|INE091G01026
JAICORPLTD.NS,NSE_EQ|INE070D01027
JISLJALEQS.NS,NSE_EQ|INE175A01038
JPPOWER.NS,NSE_EQ|INE351F01018
J&KBANK.NS,NSE_EQ|INE168A01041
JAMNAAUTO.NS,NSE_EQ|INE039C01032
JSFB.NS,NSE_EQ|INE953L01027
JINDALSAW.NS,NSE_EQ|INE324A01032
JSL.NS,NSE_EQ|INE220G01021
JINDALSTEL.NS,NSE_EQ|INE749A01030
JINDWORLD.NS,NSE_EQ|INE247D01039
JIOFIN.NS,NSE_EQ|INE758E01017
JCHAC.NS,NSE_EQ|INE782A01015
JUBLFOOD.NS,NSE_EQ|INE797F01020
JUBLINGREA.NS,NSE_EQ|INE0BY001018
JUBLPHARMA.NS,NSE_EQ|INE700A01033
JUNIPER.NS,NSE_EQ|INE696F01016
JLHL.NS,NSE_EQ|INE682M01012
JWL.NS,NSE_EQ|INE209L01016
JUSTDIAL.NS,NSE_EQ|INE599M01018
JYOTHYLAB.NS,NSE_EQ|INE668F01031
JYOTICNC.NS,NSE_EQ|INE980O01024
KPRMILL.NS,NSE_EQ|INE930H01031
KEI.NS,NSE_EQ|INE878B01027
KNRCON.NS,NSE_EQ|INE634I01029
KPITTECH.NS,NSE_EQ|INE04I401011
KRBL.NS,NSE_EQ|INE001B01026
KSB.NS,NSE_EQ|INE999A01023
KAJARIACER.NS,NSE_EQ|INE217B01036
KPIL.NS,NSE_EQ|INE220B01022
KALYANKJIL.NS,NSE_EQ|INE303R01014
KSL.NS,NSE_EQ|INE907A01026
KANSAINER.NS,NSE_EQ|INE531A01024
KTKBANK.NS,NSE_EQ|INE614B01018
KARURVYSYA.NS,NSE_EQ|INE036D01028
KSCL.NS,NSE_EQ|INE455I01029
KAYNES.NS,NSE_EQ|INE918Z01012
KEC.NS,NSE_EQ|INE389H01022
KFINTECH.NS,NSE_EQ|INE138Y01010
KIRLOSBROS.NS,NSE_EQ|INE732A01036
KIRLOSENG.NS,NSE_EQ|INE146L01010
KIRLPNU.NS,NSE_EQ|INE811A01020
KOLTEPATIL.NS,NSE_EQ|INE094I01018
KOTAKBANK.NS,NSE_EQ|INE237A01028
KIMS.NS,NSE_EQ|INE967H01025
LTF.NS,NSE_EQ|INE498L01015
LTTS.NS,NSE_EQ|INE010V01017
LICHSGFIN.NS,NSE_EQ|INE115A01026
LMW.NS,NSE_EQ|INE269B01029
LTFOODS.NS,NSE_EQ|INE818H01020
LTIM.NS,NSE_EQ|INE214T01019
LANDMARK.NS,NSE_EQ|INE559R01029
LT.NS,NSE_EQ|INE018A01030
LATENTVIEW.NS,NSE_EQ|INE0I7C01011
LAURUSLABS.NS,NSE_EQ|INE947Q01028
LXCHEM.NS,NSE_EQ|INE576O01020
IXIGO.NS,NSE_EQ|INE0HV901016
LEMONTREE.NS,NSE_EQ|INE970X01018
LICI.NS,NSE_EQ|INE0J1Y01017
LINDEINDIA.NS,NSE_EQ|INE473A01011
LLOYDSENGG.NS,NSE_EQ|INE093R01011
LLOYDSME.NS,NSE_EQ|INE281B01032
LUPIN.NS,NSE_EQ|INE326A01037
LUXIND.NS,NSE_EQ|INE150G01020
MMTC.NS,NSE_EQ|INE123F01029
MOIL.NS,NSE_EQ|INE490G01020
MRF.NS,NSE_EQ|INE883A01011
MSTCLTD.NS,NSE_EQ|INE255X01014
MTARTECH.NS,NSE_EQ|INE864I01014
LODHA.NS,NSE_EQ|INE670K01029
MGL.NS,NSE_EQ|INE002S01010
MAHSEAMLES.NS,NSE_EQ|INE271B01025
M&MFIN.NS,NSE_EQ|INE774D01024
M&M.NS,NSE_EQ|INE101A01026
MHRIL.NS,NSE_EQ|INE998I01010
MAHLIFE.NS,NSE_EQ|INE813A01018
MAHLOG.NS,NSE_EQ|INE766P01016
MAITHANALL.NS,NSE_EQ|INE683C01011
MANINFRA.NS,NSE_EQ|INE949H01023
MANAPPURAM.NS,NSE_EQ|INE522D01027
MRPL.NS,NSE_EQ|INE103A01014
MANKIND.NS,NSE_EQ|INE634S01028
MARICO.NS,NSE_EQ|INE196A01026
MARKSANS.NS,NSE_EQ|INE750C01026
MARUTI.NS,NSE_EQ|INE585B01010
MASTEK.NS,NSE_EQ|INE759A01021
MFSL.NS,NSE_EQ|INE180A01020
MAXHEALTH.NS,NSE_EQ|INE027H01010
MAZDOCK.NS,NSE_EQ|INE249Z01020
MEDPLUS.NS,NSE_EQ|INE804L01022
METROBRAND.NS,NSE_EQ|INE317I01021
METROPOLIS.NS,NSE_EQ|INE112L01020
MINDACORP.NS,NSE_EQ|INE842C01021
MIDHANI.NS,NSE_EQ|INE099Z01011
MSUMI.NS,NSE_EQ|INE0FS801015
MOTILALOFS.NS,NSE_EQ|INE338I01027
MPHASIS.NS,NSE_EQ|INE356A01018
BECTORFOOD.NS,NSE_EQ|INE495P01012
MCX.NS,NSE_EQ|INE745G01035
MUTHOOTFIN.NS,NSE_EQ|INE414G01012
MUTHOOTMF.NS,NSE_EQ|INE046W01019
NATCOPHARM.NS,NSE_EQ|INE987B01026
NBCC.NS,NSE_EQ|INE095N01031
NCC.NS,NSE_EQ|INE868B01028
NEOGEN.NS,NSE_EQ|INE136S01016
NESCO.NS,NSE_EQ|INE317F01035
NHPC.NS,NSE_EQ|INE848E01016
NIITMTS.NS,NSE_EQ|INE342G01023
NLCINDIA.NS,NSE_EQ|INE589A01014
NMDC.NS,NSE_EQ|INE584A01023
NSLNISP.NS,NSE_EQ|INE0NNS01018
NOCIL.NS,NSE_EQ|INE163A01018
NRBBEARING.NS,NSE_EQ|INE349A01021
NTPC.NS,NSE_EQ|INE733E01010
NH.NS,NSE_EQ|INE410P01011
NATIONALUM.NS,NSE_EQ|INE139A01034
NFL.NS,NSE_EQ|INE870D01012
NAVA.NS,NSE_EQ|INE725A01030
NAVINFLUOR.NS,NSE_EQ|INE048G01026
NAZARA.NS,NSE_EQ|INE418L01021
NESTLEIND.NS,NSE_EQ|INE239A01024
NETWEB.NS,NSE_EQ|INE0NT901020
NETWORK18.NS,NSE_EQ|INE870H01013
NEULANDLAB.NS,NSE_EQ|INE794A01010
NEWGEN.NS,NSE_EQ|INE619B01017
